Univ applied,Course,Decesion,cgpa,Ug Univ,GRE Total,GRE Quant,Gre verbal,Toefl,Ielts,Work ep,Paper published
UTD,MS CS,Admit,7.6/10,MU,326,167,159,114,,0,
UTD,Mech,Admit,7.5/10,Anna University,318,158,160,110,,0,
Michigan technological University,Data science,Admit,6.6/10,GITAM University,303,154,149,97,,0,
Arizona State University,Business Analytics,Admit,7.85,MU,307,161,146,99,,0,
University of Texas Arlington,Civil,Admit,7.52,Kiit University,324,167,157,108,,0,
UTD,CS,Admit,66.62%,PU,311,161,150,92,,1 y 2 m,2
Wayne state university,IE,Admit,6.9,Rtmnu,308,157,151,98,,1y 2m,No
Santa Clara University,CSE,Admit,8.94,Charotar University of Science and Technology,308,159,149,92,,9 months,0
UTD,SE,Admit,8.94,Charotar University of Science and Technology,308,159,149,110,,9 months,0
UTD,MS CS,Admit,8.1/10,Guru Nanak Dev Univ,318,160,158,1,,0,None
UTD,CE,Admit,9.38/10,MSRIT,304,156,148,96,NA,2Y,None
RIT,CS,Admit,71%,MUMBAI UNI,326,165,161,112,28:30:26:28,2Y,NA
UNCC,EE,Admit,8.73,Anna university.,312,164,148,,,1Y7M,0
Stevens institute of technology,MIS,Admit,7.33/10,MU,303,160,143,93,,11M,0
UTD,ITM,Admit,69.17%,AKTU former(Uttar Pradesh Tech Univ),321,165,156,100,,6 Months( Jr. Database Admin),None
IIT Chicago,Cs,Admit,8.09,Vtu,296,154,142,,,18 months,N/A
Ohio State University,Industrial,Admit,9.2/10,SRM University,317,162,155,106,,0,0
UTD,CS,Admit,6.81,NIT jal,309,161,148,101,,6 months,no
University of Texas Dallas,CS,Reject,7.69,GNDU,311,161,150,91,,0Y,No
ASU,CS,Admit,8.2,IIT Hyderabad,320,167,153,103,,1Y4M,no
Michigan Technological University,EE,Admit,8.7/10,Aligarh Muslim University,326,165,161,113,,6M,3
Iit chicago,Mscs,Admit,9.15 cgpa,Jntu hyderabad,303,160,143,,6.5:7.5:6:6,0,0
university of wyoming,anthropology,Reject,3.73/4,"JU, Bangaldesh",296,154,142,80,,3 year,no
Purdue university,ME,Admit,9.85/10,Amrita University,325,167,158,109,,NA,1
University of texas dallas,cs,Admit,76.20%,RTU,319,164,155,103,,no ex,none
"University at Buffalo, SUNY",Mech,Admit,8.4,Amrita University,320,167,153,105,,0,2
Michigan Tech University,Mech,Admit,8.4,Amrita University,320,167,153,105,,0,2
Purdue University,Mech,Reject,8.42,Amrita University,320,167,153,105,,0,2
UTD,CS,Admit,7.8/10,NIT,316,168,148,95,,6M,0
"TAMU, College station",Mech,Reject,8.4,Amrita University,320,167,153,105,,0,2
UTD,CS,Reject,7.88/10,Anna University,319,165,154,112,,2 Y,0
University of Maryland,MSIS,Admit,7.2,MIT Manipal,317,165,152,109,,2Y 3M,None
UTD,EE,Admit,8.82,"NIE, Mysore",298,159,139,83,,1M,1
UPenn,CS,Reject,9.2,MU,328,170,158,113,0,3M,Yes
UIC,ECE,Admit,8.9/10,VTU,308,159,149,109,,0,0
Boston university,Telecom,Admit,6.47/10,Mumbai university,304,159,145,91,,0,0
Stevens institute of technology,Network and communication management,Admit,6.47/10,Mumbai university,304,159,145,91,,0,0
university of houston,petroleum engineering,Admit,7.8,ViT vellore,311,162,149,92,,6 months,1
Ohio State University,IE,Admit,9.47,NIT,325,169,156,113,,0,0
University of Nebraska Omaha,MIS,Admit,7.76,"JNTU,Hyderabad",303,158,145,,7(6:7.5:6.5:7),1Y 3M,No
university of akron,MIS,Admit,7.76,JNTU HYderbad,303,158,145,,7(6:7.5:6.5:7),1 Y 4 M,None
Northern Illinois Univ,MIS,Admit,7.76,JNTU Hyderabad,303,158,145,,7(6:7.5:6.5:7),1Y 4M,No
UIC,Mech,Reject,7.74,Mumbai University,309,162,147,91,,1M,0
"University of Maryland, College Park",MSIS,Admit,8.15,Mumbai University,327,167,160,112,,0,0
University of North Carolina at CHAPEL HILL,Information Science,Admit,60%,Pune University,316,159,157,110,,1 M,Yes
UTD,CS,Admit,8.55,NIT,318,164,154,101,,0,3
George mason university,DA,Admit,3.1/4.0,JNTU,294,150,144,,7.0(7.0:7.0:7.5:5.5),0,0
Michigan Technological University,EE,Admit,73.70%,UPTU,312,160,152,108,,1Y 2M,NONE
UTD,CE,Admit,72,pulchowk,308,165,143,90,,teaching 1 year,no
Upenn,Cs,Reject,75%,Vtu,325,169,156,116,,1y,-
Upenn,CS,Reject,8.95/10,NIT,323,167,156,101,,4yr,0
UTD,CS,Reject,3.1/4.0,Ahmedabad University,315,170,145,108,,1 M,0
Arizona State University,CS,Admit,9.03,"VIT , Vellore",325,168,157,106,,0,1
Michigan Technological University,Mechanical Engineering,Admit,8.6/10,"VJTI, Mumbai",319,167,152,103,,1Y 4M,No
"TAMU, College Station",Mechanical Engineering,Reject,8.6/10,"VJTI, Mumbai",319,167,152,103,,1Y 4M,0
Kansas State University,IE,Admit,6.5,MU,303,162,141,86,,6 M,no
University of Texas arlington,Mis,Reject,72%,MU,290,153,137,84,,1Y,2
NYU Tandon,CSE,Admit,6.8/10,PU,302,159,143,92,,0Y,Nil
UIC,CE,Reject,7.07,MU,320,159,161,116,,1 m,None
Western Michigan University,Industrial engineering,Admit,8.19/10,Psg tech,304,156,148,,7.5:7:6:6,3Y,Nil
SUNY Binghamton,IE,Admit,6.84,Mumbai University,319,168,151,108,,0,1 international
Uic,Mech,Reject,7.83/10,MU,317,167,150,100,,0,0
NCSU,IE,Admit,8.26/10,GTU,315,170,145,92,,0,0
UIC,IE,Reject,8.26/10,GTU,315,170,145,92,,0,0
Texas A&M College Station,MECH,Reject,9.1/10,Manipal,316,165,151,112,,1Y5M,Two
UT Arlington,CS,Admit,6.6,MDU,302,157,145,102,,2Y,No
UTD,ITM,Reject,6.6,MDU,302,157,145,102,,2Y,No
UTD,ITM,Reject,6.6,MDU,302,157,145,102,,2Y,No
Santa Clara University,CS,Admit,3.94/4.0,RGPV(Bhopal),309,162,147,93,,null,null
UTD,CS,Reject,7.66/10,RGPV( BHOPAL),309,162,147,93,,Null,null
syracuse,cs,Reject,7.66/10,RGPV(BHOPAL),309,162,147,93,,null,null
UTD,CS,Reject,8.67,KJ somaiya college of engineering,305,158,147,97,,3M,1
Rochester Institute of Technology,CS,Admit,64.27%,GGSIPU,318,159,159,107,,1 Y 11 M,NA
University of Southern California,CE,Admit,72%,Pune University,315,161,154,98,,6 months,One International
stevens,mis,Admit,6.52/10,spit,310,160,150,94,,1,1
Michigan Technological University,Data science,Admit,7.33,NIT,313,159,154,,,1Y 4M,None
Michigan Tech,Mecahnical,Admit,8.74,CSVTU,322,167,155,112,,0,2 Average papers
UT Dallas,Data Analytics,Admit,8.74,CSVTU,322,167,155,112,,0,2 unrelated to Data
UPenn,MCIT (CS),Reject,7.93,MNIT Jaipur,320,170,150,111,,4,"Yes, 4"
North Carolina State University,IE,Admit,70.80%,PU,312,162,150,108,,1Y 6M,0
CSU Fresno,EE,Admit,66.11%,VTU,295,153,142,,7,7M,none
SYRACUSE,CS,Admit,8,Anna University,310,162,148,100,,2Y,2papes - 1 patent
Santa Clara University,CSE,Admit,7.6/10,DDU,308,168,140,98,,0Y 6M,1
UTD,CS,Admit,8.06/10,Anna University,306,159,147,96,,1Y 10M,1
Syracuse,CS,Reject,8.06/10,Anna university,306,159,147,96,,1Y 10M,1
Arizona state university,CS,Reject,8.06/10,Anna university,306,159,147,96,,1Y 10M,1
UT Arlington,CS,Admit,8.95,MU,304,161,143,90,,-,-
UTD,CS,Reject,8.95,MU,304,161,143,90,,-,-
"University of Texas, Dallas",CS,Admit,7.0/10,IIITDM Jabalpur,316,167,149,102,,1Y 8 M,Nope
"University of Maryland, College Park",Information Systems,Admit,8.4,VTU,314,161,153,110,NA,2M,No
University of Connecticut,Business analytics,Admit,74%,IP University,323,168,155,109,,2,0
umass dartmouth,CS,Admit,67%,PESIT-BSC,294,157,137,,6(6:6:6:6),1Y1M,NO
UTD,CS,Reject,3,AHMEDABAD UNIVERSITY,313,162,151,103,,1Y,2
UTD,ITM,Admit,62.01%,Mumbai University,316,161,155,106,,1Y 6M,1
Rochester Institute of Technology,CS,Admit,8.2/10,VJTI Autonomous Institute,308,146,162,113,-,1Y 4M,NA
UIC,CE,Reject,7.1/10,MU,320,159,161,116,,NA,None
SUNY Binghamton,Industrial engineering,Admit,6.3,MU,297,156,141,99,,None,None
SUNY Buffalo,MIS,Admit,"69.1,%",AKTU(Former Uttar Pradesh Technical University),321,165,156,100,,6M,None
U penn,CS,Reject,9.73,Srm university,313,161,152,107,,Nil,Nil
Ohio state university,IE,Admit,8.99/10,Amrita,320,170,150,103,,0,0
Michigan technological university,Mechanical,Admit,75%,Osmania University,324,167,157,,8.0(8.5:9.0:7.0:6.5),1Y 5M,2
Universitt of Texas at Arlington,IE,Admit,8.86,MU,315,161,154,114,,Nil,Nil
Ohio state University,IE,Admit,8.86,MU,315,161,154,114,,Nil,Nil
University of Texas at Dallas,CS,Reject,7.36/10,GTU,318,162,156,,7.5(8:8.5:7:6),0,0
University of Connecticut,MSBAPM,Admit,7.99,Gitam University,309,160,149,,7(7:9:6.5:6),0,No
UTD,CS,Admit,8.79/10,GTU,316,163,153,110,,0,None
UIC,ECE,Admit,8.09,WBUT,314,162,152,112,,2Y 3M,0
SUNY Buffalo,MIS,Admit,67,JNTUH,315,163,152,109,,1Y 6M,0
IIT - Chicago,Data Science,Admit,8.29/10,Mumbai University,323,168,155,113,,0,None
ASu,Mech,Admit,7.74/10,MU,309,162,147,91,,1M,0
Michigan Technological University,CS,Admit,85%,LNMIIT,312,167,145,,,0,No
Stevens.Institute of Technology,MIS,Admit,6.67,MU,311,156,155,110,,0Y,0
Arizona State University,ME,Admit,9.85/10,Amrita University,325,167,158,109,,NA,1
University of Pennsylvania,Robotics,Admit,9.07/10,MU,328,168,160,113,,A month long internship.,None
UTD,CS,Admit,7.25/10,NIT Bhopal,313,160,153,100,,3Y,None
Southern methodist university,Telecom,Admit,6.47/10,MU,304,159,145,91,,1m,0
"University of North Carolina, Charlotte",Mech,Admit,68.25%,MU,312,162,150,111,,1Y,None
Stevens institute of technology,Construction engineering & management,Admit,65%,Mpstme,314,159,155,107,,3 months,None
arizona state university,msba,Admit,9.2/10,srm university,319,166,153,104,,2y 6 m,none
Michigan Tech University,BIOM,Admit,8.08/10,Mumbai University,305,158,147,101,,0,0
Bowling Green State Univeristy,CS,Admit,7.09,"Govt. College of Engineering, Amravati",295,154,142,96,,2Y 6M,No
